"X_id","IncidentNum","ReportedDateTime","ReportedYear","ReportedMonth","Location","WeaponUsed","ALD","NSP","POLICE","TRACT","WARD","Zip.Code","RoughX","RoughY","Arson","AssaultOffense","Burglary","CriminalDamage","Homicide","LockedVehicle","Robbery","SexOffense","Theft","VehicleTheft","has_number","CrimeType","lat","long"
657865,"183230089","11/18/2018 18:00",2018,11,"9535 W BECKETT AV, Milwaukee, WI",NA,2,19,4,502,37,53225,2525721.158,413663.277,0,0,1,0,0,0,0,0,0,0,TRUE,"Property: Burglary",43.1182703,-88.0316882
642188,"181660068","6/15/2018 8:20",2018,6,"3722 W BROWN ST, Milwaukee, WI","PERSONAL WEAPON",15,11,3,9000,155,53208,2545218.566,391705.764,0,1,0,0,0,0,0,0,0,0,TRUE,"Violent: Assault",43.0565751,-87.9607413
628921,"180240049","1/23/2018 18:00",2018,1,"3327 W KILBOURN AV, Milwaukee, WI","NONE",4,14,3,13500,198,53208,2546616.409,386348.532,0,0,1,0,0,0,0,0,0,0,TRUE,"Property: Burglary",43.0414459,-87.9560966
652252,"182680138","9/25/2018 9:30",2018,9,"3310 S 8TH ST, Milwaukee, WI",NA,14,NA,6,20300,292,53215,2556115.106,365813.819,0,0,1,0,0,0,0,0,0,0,TRUE,"Property: Burglary",42.9844384,-87.9213355
641469,"181590006","6/8/2018 0:50",2018,6,"9630 W BEATRICE ST, Milwaukee, WI","OTHER,BLUNT OBJECT",9,18,4,201,1,53224,2525168.473,436084.62,0,1,0,0,0,0,0,0,0,0,TRUE,"Violent: Assault",43.1797521,-88.0319657
643850,"181830062","7/2/2018 6:20",2018,7,"6221 W CARMEN AV, Milwaukee, WI","NONE",9,2,4,1200,23,53218,2537048.639,415773.254,0,1,0,1,0,0,0,0,0,0,TRUE,"Violent: Assault",43.1227636,-87.9890035
648839,"182330144","8/21/2018 18:15",2018,8,"3872 N 52ND ST, Milwaukee, WI","PERSONAL WEAPON",7,5,7,3700,98,53216,2540025.32,402425.432,0,1,0,0,0,0,0,0,0,0,TRUE,"Violent: Assault",43.0877995,-87.9780666
650317,"182490024","9/6/2018 5:12",2018,9,"1689 N FRANKLIN PL, Milwaukee, WI",NA,3,NA,1,11000,183,53202,2562116.966,389956.197,0,0,1,0,0,0,0,0,0,0,TRUE,"Property: Burglary",43.0526784,-87.8970006
654374,"182880094","10/15/2018 13:00",2018,10,"9253 N JADAM LA, Milwaukee, WI",NA,9,NA,4,101,3,53224,2529624.582,437916.45,0,1,0,0,0,0,0,0,0,0,TRUE,"Violent: Assault",43.1854167,-88.0148002
639688,"181400042","5/19/2018 18:00",2018,5,"2462 N BARTLETT AV, Milwaukee, WI",NA,3,NA,1,7700,135,53211,2564049.733,393955.93,0,0,1,0,0,0,0,0,0,0,TRUE,"Property: Burglary",43.0628176,-87.8889805
633403,"180740080","3/14/2018 19:50",2018,3,"3801 W BURLEIGH ST, Milwaukee, WI","KNIFE/KITUT",7,5,7,4800,104,53210,2544796.72,398530.216,0,1,0,0,0,0,1,0,0,0,TRUE,"Violent: Assault",43.075123,-87.961059
641880,"181630112","6/12/2018 14:10",2018,6,"5865 W SILVER SPRING DR, Milwaukee, WI","PERSONAL WEAPON",2,2,4,1900,45,53218,2538214.79,414459.071,0,1,0,0,0,0,0,0,0,0,TRUE,"Violent: Assault",43.1186975,-87.985388
635827,"180990189","4/9/2018 21:30",2018,4,"3015 N 9TH ST, Milwaukee, WI","KNIFE",6,4,5,6700,117,53206,2555053.203,398011.29,0,1,0,0,0,0,0,0,0,0,TRUE,"Violent: Assault",43.0734886,-87.9228369
628393,"180190036","1/19/2018 8:30",2018,1,"531 W GARFIELD AV, Milwaukee, WI","HANDS",6,6,5,185600,142,53212,2556638.623,392955.008,0,1,0,0,0,0,0,0,0,0,TRUE,"Violent: Assault",43.0589305,-87.9181423
652357,"182690128","9/26/2018 14:30",2018,9,"1550 S 23RD ST, Milwaukee, WI","HANDGUN",8,15,2,16300,225,53204,2550306.244,377082.406,0,0,0,0,0,0,1,0,0,0,TRUE,"Violent: Robbery",43.014921,-87.9420089
660543,"183510155","12/17/2018 19:09",2018,12,"9656 W BRADLEY RD, Milwaukee, WI",NA,9,NA,4,202,6,53224,2525946.757,430128.101,0,0,1,0,0,0,0,0,0,0,TRUE,"Property: Burglary",43.1638587,-88.0313237
